Property Name,City,State,Property Description,Leisure Activities,Brand,Total Guest Rooms,Total Meeting Rooms,Total Meeting Space,Largest Ballroom (Sq Ft),Closest Airport,Website URL,Hero Image URL,Travel Time to the Nearest Airport,Max Capacity of Largest Meeting Space,Peak Season,Slow Season,The Hero Feature,Friction Point,Pricing Tier,Breakout Capabilities (Total Mtg Sq Ft/Total Mtg Rooms),Vibe Tags,AI Reasoning
Dellshire Resort,Wisconsin Dells,Wisconsin,"Opening in spring 2026, this four-story medieval-themed resort brings an immersive escape to the Waterpark Capital of the World, featuring storybook-inspired designs and a 60-foot fire-breathing dragon entrance.","9,000-sq.-ft. Hero's Hall family entertainment center with a mixed-reality adventure, six indoor/outdoor pools and hot tubs including a swim-up bar.",Benchmark Resorts & Hotels,208,3,"6,800","4,000",Dane County Regional Airport (MSN),https://www.dellshireresort.com/,,55 minutes from MSN,300,"Sep-Oct, May-Jun","Dec-Feb, Jul-Aug",Immersive medieval-themed resort with a 60-foot fire-breathing dragon,Opening Spring 2026; no public reviews available yet,3,2267,High-Energy/Buzzing | Novelty/Themed | Serious/Academic,"Opening in spring 2026 in the heart of Wisconsin Dells, this medieval-themed property heavily targets families and leisure travelers with its six pools, massive entertainment center, and interactive mixed-reality quests (High-Energy), leans completely into a storybook castle aesthetic complete with a 60-foot fire-breathing dragon (Novelty/Themed), yet still provides nearly 7,000 square feet of dedicated meeting space to accommodate corporate retreats and group events (Serious/Academic)."
Delta Hotels Jacksonville Deerwood,Jacksonville,Florida,"A modern six-story hotel located in Jacksonville's Southside near St. Johns Town Center, designed for frequent travelers with an inviting lobby and updated amenities.","24-hour fitness center, outdoor pool, lobby bar, Delta Pantry, and access to nearby golf courses and beaches.",Delta Hotels by Marriott,166,5,"3,795","1,306",Jacksonville International Airport (JAX),https://www.marriott.com/en-us/hotels/jaxde-delta-hotels-jacksonville-deerwood/overview/,,30 minutes from JAX,120,January-March,June-August,"Features the signature Delta Pantry for elite members, offering 24/7 access to premium snacks and beverages in a modern setting.",Distance from the main downtown city center may require additional travel time for off-site dining or entertainment.,2,759,Serious/Academic | Modern/Industrial,"Situated in a corporate park environment, this business-centric hotel prioritizes functional efficiency with dedicated meeting spaces and ergonomic in-room workstations (Serious), wrapped in a streamlined, contemporary aesthetic designed specifically for the frequent transient traveler (Modern)."
Doubletree Boston Logan Airport Chelsea,Chelsea,Massachusetts,"A modern hotel located just three miles from downtown Boston and minutes from Logan International Airport, offering easy access to city attractions and public transportation.","Indoor heated pool, fitness center, on-site dining at Pendulum Pub, and quick access to downtown Boston entertainment and shopping.",DoubleTree by Hilton,180,3,"1,200","1,200",Boston Logan International Airport (BOS),https://www.hilton.com/en/hotels/bosacdt-doubletree-boston-logan-airport-chelsea/,,10 minutes from BOS,132,"April-June, September-October",November-March,The restuarant pub," Parking fees are usually the main concern, which they try to waive",2,400,Serious/Academic | Modern/Industrial,"Operating primarily as a functional hub for transient flyers and business travelers just minutes from Logan Airport, this property prioritizes meeting capabilities and rapid-turnaround efficiency (Serious) within a recently renovated, contemporary layout designed for straightforward convenience (Modern)."
Doubletree by Hilton Denver,Denver,Colorado,"Located between downtown and the airport, this hotel offers convenient access to the Central Park Train Station, The Shops at Northfield, and local attractions, starting every stay with a warm signature cookie.","Indoor pool, outdoor hot tub, 24-hour fitness center, and on-site dining including Knife & Board and Character's Sports Bar.",DoubleTree by Hilton,563,20,"32,000","9,660",Denver International Airport (DEN),https://www.hilton.com/en/hotels/rldv-dt-doubletree-denver/,,20 minutes from DEN,"1,200",Jun-Aug,Nov-Jan,"32,000 sq. ft. of flexible space including a 10,000 sq. ft. Grand Ballroom","High parking fees, frequent elevator delays, and inconsistent room climate control",2,1600,Serious/Academic | Modern/Industrial,"Functioning as a major convention destination with 32,000 square feet of dedicated event space and suites featuring private conference tables (Serious), this property caters heavily to transient and corporate travelers, providing a highly functional, centralized environment designed for high-efficiency business turnarounds between downtown Denver and the airport (Modern)."
Doubletree Jacksonville Airport,Jacksonville,Florida,"Located just 200 yards from the main terminal, this modern hotel offers a serene environment with a lakeside lanai and warm signature cookie welcome, providing unmatched convenience for travelers.","Outdoor saltwater pool, lakeside lanai, 24-hour fitness center, and on-site dining at Frequency Restaurant and Lounge featuring pond and waterfall views.",DoubleTree by Hilton,202,7,"10,190","4,000",Jacksonville International Airport (JAX),https://www.hilton.com/en/hotels/jaxardt-doubletree-jacksonville-airport/,,2 minutes from JAX,300,Jan-Apr,Jul-Aug,Located directly on airport grounds with a complimentary 24-hour terminal shuttle,"Outdated property showing its age with musty odors, peeling wallpaper, and unexpected parking fees",2,1456,Serious/Academic | Modern/Industrial,"Operating primarily as a highly convenient transit hub situated just 200 yards from the main terminal, this property prioritizes rapid-turnaround efficiency and corporate gatherings with 11,000 square feet of versatile meeting space (Serious), providing a functional, streamlined environment designed to meet the immediate needs of frequent flyers and business travelers (Modern)."
Doubletree Manchester Downtown,Manchester,New Hampshire,"A modern high-rise hotel located in the heart of downtown Manchester, offering scenic city views and easy walking access to Elm Street dining, shopping, and the SNHU Arena.","Indoor heated swimming pool, 24-hour fitness center, and on-site dining at The Current Kitchen & Bar and JD's Tavern.",DoubleTree by Hilton,248,16,"58,317","30,000",Manchester-Boston Regional Airport (MHT),https://www.hilton.com/en/hotels/mhtmndt-doubletree-manchester-downtown/,,10 minutes from MHT,"1,000","Sep-Oct, May-Jun","Jan-Feb, Jul-Aug","Connected to the massive 30,000-square-foot Center of New Hampshire Expo Center",Confusing attached municipal parking garage requires a long walk and frequent elevator delays,2,3645,Serious/Academic | Modern/Industrial,"Functioning as a major New England convention hub with over 58,000 square feet of event space and a massive dedicated Expo Center, this downtown property caters heavily to large-scale conferences and corporate gatherings (Serious), providing a highly functional, recently renovated environment designed for maximum event efficiency and straightforward access to the nearby SNHU Arena (Modern)."
Doubletree NY Downtown,New York,New York,"A modern high-rise hotel located in Lower Manhattan's Stone Street Historic District, offering easy access to the Financial District, Wall Street, and Battery Park.","24-hour fitness center, on-site dining at Antica Ristorante, and quick access to downtown historic attractions, shopping, and the Staten Island Ferry.",DoubleTree by Hilton,399,1,234,"1,100",LaGuardia Airport (LGA),https://www.hilton.com/en/hotels/nycbpdt-doubletree-new-york-downtown/,,40 minutes from JFK,80,"q2, September-December","July-august, January-February",N/A Rooms only,Elevators,2,234,Serious/Academic | High-Energy/Buzzing | Modern/Industrial,"Located in the heart of the Financial District, this high-rise property heavily caters to corporate travelers and Wall Street professionals with a ""heads down"" business focus (Serious), immerses guests in the intense, bustling street-level atmosphere of lower Manhattan (High-Energy), and features a highly functional, contemporary interior designed for maximum efficiency in a dense urban setting (Modern)."
Embassy Suites Boston Marlborough,Marlborough,Massachusetts,"A full-service all-suite hotel located near major corporate parks and the New England Sports Center, offering spacious two-room suites and signature Hilton hospitality.","Indoor heated saltwater pool, whirlpool, state-of-the-art fitness center with Peloton bikes, arcade/game room, and proximity to Apex Entertainment complex.",Embassy Suites by Hilton,230,5,"3,020",728,Boston Logan International Airport (BOS),https://www.hilton.com/en/hotels/bosmaes-embassy-suites-boston-marlborough/,,45 minutes from BOS,60,"Sep-Oct, May-Jun","Jan-Feb, Jul-Aug",All-suite accommodations centered around a lush indoor tropical atrium,Frequent noise and elevator congestion from youth sports teams taking over the lobby,2,604,Serious/Academic | High-Energy/Buzzing | Athletic/Active,"Catering to local corporate parks with functional meeting facilities and all-suite accommodations for business travelers (Serious), this property frequently transforms into a lively, bustling hub driven by youth sports tournaments (High-Energy), leaning into this demographic with specialized amenities like a designated knee-hockey room, an expanded fitness center with Peloton bikes, and close proximity to the New England Sports Center (Athletic)."
Gilchrist Club,Trenton,Florida,"A 27,000-acre private membership hunting and fishing preserve offering elite wilderness escapes, five-star hospitality, and specialized group meeting facilities in a tranquil forest setting.","World-class quail, turkey, and deer hunting, bass and crappie fishing, sporting clays, tomahawk throwing, wild pig hunting, and dining at Suwannee Lake Lodge.",Benchmark Resorts & Hotels,28,1,800,"2,200",Gainesville Regional Airport (GNV),https://www.gilchristclub.com/,,45 minutes from GNV,60,May-August is the only season they accept business,May-August is the only season they accept business,They show the hunting and fishing capabilities. They also have a nice dining room for groups to eat after the activities.,"This is a private club, they normally turn business away unless you are in the club, unless it is May-August and they are extremely slow.",5,800,Secluded/Private | Athletic/Active | Luxury/Pampering,"Spanning 27,000 acres of untamed Florida wilderness, this highly exclusive, gated sanctuary provides a hushed, retreat-like environment with private lodge accommodations for total isolation (Secluded), serves as a premier destination for elite outdoorsmen featuring world-class wing shooting, a 1,000-yard rifle range, and trophy bass fishing (Athletic), and maintains a ""refined rustic"" standard of service with personal guides, gourmet wild-game dining, and high-end hospitality (Luxury)."
Hammock Beach Golf Resort & Spa,Palm Coast,Florida,"Nestled along a pristine stretch of Florida's Atlantic Coast, this premier oceanfront destination offers sophisticated coastal accommodations, including ocean-view suites and villas, just minutes from historic St. Augustine.","91,000-sq.-ft. water park with a lazy river and water slide, two signature golf courses (Jack Nicklaus Ocean Course and Tom Watson Conservatory Course), full-service spa, tennis and pickleball center, and a 209-slip marina.",Benchmark Resorts & Hotels,275,15,"50,000","7,122",Daytona Beach International Airport (DAB),https://www.hammockbeach.com/,,30 minutes from DAB,500,March-August,September-November,Golf Course on the beach,The units are older since the property has been around for a while.,4,3333,Athletic/Active | Wellness/Zen | Public/See-and-be-Seen,"Renowned as a premier golf destination, this resort features two championship courses—including the oceanfront Ocean Course and the Conservatory Course—alongside a massive nine-pool water park and professional tennis facilities (Athletic), while offering a tranquil escape through its full-service spa and miles of serene, pink-sand Atlantic coastline (Wellness), and serving as a high-profile social anchor for the Palm Coast where the multi-level pool deck and various dining venues create a lively, community-focused atmosphere (Public)."
Hanover Inn Dartmouth,Hanover,New Hampshire,"A historic boutique hotel founded in 1780, located directly on the Dartmouth College campus overlooking the Green, blending New England legacy with modern conference facilities.","24-hour fitness center, on-site dining at PINE, access to Dartmouth Skiway, ice skating on Occom Pond, and walking distance to the Hood Museum of Art and Dartmouth athletics.",Preferred Hotels & Resorts,108,10,"11,000","4,000",Lebanon Municipal Airport (LEB),https://www.hanoverinn.com,,15 minutes from LEB,300,Spring/Fall,Winter/Summer,Ballroom floor to ceiling windows,Not enough meeting space,3,1100,Serious/Academic | Historic Charm | Public/See-and-be-Seen,"Functioning as the historic ""front door"" to Dartmouth College with dedicated conference facilities (Serious), this centuries-old New England landmark (Historic) serves as the primary high-profile social and networking hub for visiting alumni, academics, and locals, anchored by its prominent PINE restaurant (Public)."
Hilton Birmingham at UAB,Birmingham,Alabama,"Located on the UAB campus in the heart of the Medical District, this hotel recently completed a multimillion-dollar renovation of all guest rooms and event spaces, offering a contemporary retreat for medical, academic, and business travelers.","Outdoor seasonal pool, 24-hour fitness center with Peloton bikes, on-site dining at Blazer’s Grill, a lobby Starbucks, and complimentary shuttle service to the airport and local area.",Hilton Hotels & Resorts,295,9,"16,000","7,150",Birmingham-Shuttlesworth International Airport (BHM),https://www.hilton.com/en/hotels/bhmhhhh-hilton-birmingham-downtown-uab/,,15 minutes from BHM,600,"Mar-May, Sep-Oct","Nov-Jan, Jul-Aug",Connected directly to UAB Hospital via a convenient climate-controlled pedestrian skybridge,Confusing attached municipal parking garage layout with frequent elevator delays and bottlenecks,3,1778,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Positioned as the primary gateway to the University of Alabama at Birmingham (UAB) and the surrounding medical district, this property functions as a core academic hub for clinical conferences and university-affiliated events with nearly 15,000 square feet of pillar-free meeting space (Serious), features a recently updated, contemporary interior optimized for corporate efficiency and ""heads down"" productivity (Modern), and serves as a highly visible local networking anchor through its buzzy social scene at The LAB Bar & Kitchen, which attracts a steady flow of medical professionals, visiting academics, and local residents (Public)."
Hilton Philadelphia Penn’s Landing,Philadelphia,Pennsylvania,"A premier waterfront hotel located at Penn's Landing, featuring panoramic views of the Delaware River and easy access to the Historic District and Independence Hall.","Indoor pool, 24-hour fitness center, seasonal sundeck, waterfront dining, adjacent to Spruce Street Harbor Park, and walking distance to Old City attractions.",Hilton Hotels & Resorts,350,19,"23,837","7,656",Philadelphia International Airport (PHL),https://www.hilton.com/en/hotels/phlpnhh-hilton-philadelphia-at-penns-landing/,,15 minutes from PHL,"1,100","April-May, August-October",mid October-November,Water side view,Parking fees,3,1255,Serious/Academic | High-Energy/Buzzing | Public/See-and-be-Seen,"Functioning as a major conference hub with 24,000 square feet of event space (Serious), this property leverages its unique position as Philadelphia's only waterfront hotel to immerse guests in the bustling atmosphere of Penn's Landing (High-Energy), while its prominent waterfront restaurant and prime location create a highly visible social anchor for the city (Public)."
Hilton University of Florida Conference Center Gainesville,Gainesville,Florida,"An IACC-certified conference center hotel located on the University of Florida campus, featuring Mediterranean-style architecture and sophisticated spaces for academic, business, and social events.","Outdoor pool and whirlpool, 24-hour fitness center, on-site dining at Albert's Restaurant and No Name Lounge, 24-hour business center, and campus shuttle service.",Hilton Hotels & Resorts,248,3,"25,000","6,860",Gainesville Regional Airport (GNV),https://www.hilton.com/en/hotels/gvncchf-hilton-university-of-florida-conference-center-gainesville/,,15 minutes from GNV,700,February- April,Summer time,"Unique rooms, only place in the city that is full service, welcome reception space","Isolated from the main area of town, hard to get out!",3,8333,Serious/Academic | Modern/Industrial | Wellness/Zen,"Positioned on the edge of the UF campus, this property functions as a primary academic and research hub with over 25,000 square feet of IACC-certified meeting space and a dedicated 13-seat executive boardroom (Serious), features a contemporary, streamlined design tailored for ""heads down"" productivity and large-scale university conferences (Modern), and offers a unique natural escape due to its location directly adjacent to the Kanapaha Botanical Gardens and Biven's Arm Nature Park (Wellness)."
"Hotel Adeline, Scottsdale",Scottsdale,Arizona,"A contemporary urban retreat in the heart of Old Town Scottsdale, featuring a high-energy vibe, mid-century modern architecture, and a central zero-edge pool that serves as the social centerpiece.","3,000-sq.-ft. zero-edge pool with private cabanas, ""Straight Up!"" speakeasy whiskey bar, ""Self-Made"" signature restaurant, ""Freestyle"" pool bar, fitness center, and outdoor lawn games.",Tribute Portfolio (Marriott),213,5,"10,115","4,800",Phoenix Sky Harbor International Airport (PHX),https://www.hoteladeline.com/,,20 minutes from PHX,300,Jan-Apr,Jun-Aug,"3,000-square-foot zero-edge pool with private cabanas and vibrant courtyard","Two-story motel conversion lacking elevators for upper floors, with paper-thin walls and noise issues",3,2023,Public/See-and-be-Seen | High-Energy/Buzzing | Modern/Industrial,"Positioned as a high-visibility social hub near Old Town, this property centers its identity around a 3,000-square-foot zero-edge pool that hosts a constant rotation of DJs and lively weekend parties (Public/High-Energy), while delivering a ""retro-mod"" boutique aesthetic through its midcentury design and hidden whiskey speakeasy (Modern)."
Hotel Eleo,Gainesville,Florida,"An upscale boutique hotel located on the University of Florida campus, featuring striking modern architecture, lakefront views, and high-end interior design tailored for both academic and medical visitors.","24-hour fitness center with high-end equipment, on-site dining at Covey Kitchen + Cocktails with lakeside views, valet parking, and a technology-forward ""Consulaire"" concierge service.",Independent (Managed by Pyramid Global),173,6,"1,100","1,150",Gainesville Regional Airport (GNV),https://www.hoteleleo.com/,,15 minutes from GNV,120,Jan-Apr,Jul-Aug,Sleek six-story boutique hotel overlooking Rush Lake located on the University of Florida campus,"Mandatory valet parking creates bottlenecks during large events, and room climate control is centrally locked",3,183,Modern/Industrial | Serious/Academic | Wellness/Zen,"Rising as a sleek, sinuous landmark on the University of Florida campus, this upscale boutique property blends a high-design aesthetic—featuring exposed concrete and custom Italian furnishings (Modern)—with a hyper-functional role as the primary ""home base"" for UF Health and the surrounding medical/academic hub (Serious). Despite its clinical proximity, the hotel prioritizes a ""refreshing refuge"" vibe with floor-to-ceiling lake views, a high-end fitness studio equipped with Peloton and TRX, and an outdoor yoga patio designed for mental decompression (Wellness)."
Hotel Flor by Tapestry,Tampa,Florida,"A historic 1926 Art Deco landmark in Downtown Tampa, recently renovated in 2023 to blend vintage charm with modern luxury, located just blocks from the Tampa Riverwalk and the Straz Center.","24-hour fitness center with Peloton bikes, complimentary shuttle service within a 3-mile radius, complimentary bicycle rentals, Cass Street Coffee Co., and on-site dining at The Dan.",Tapestry Collection by Hilton,210,4,"13,042","3,800",Tampa International Airport (TPA),https://www.hotelflortampa.com/,,15 minutes from TPA,250,Jan-Apr,Jul-Aug,Historic 1920s downtown hotel featuring original architectural charm and an elegant grand ballroom,"Expensive valet-only parking creates bottlenecks, and the historic layout causes frequent elevator delays",3,3261,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Originally opened in 1926 as the Floridan, this 19-story Mediterranean Revival landmark preserves its deep storytelling through a meticulously restored grand lobby and its iconic rooftop sign (Historic), while undergoing a comprehensive multi-million dollar renovation that integrates high-end, contemporary finishes and tech-forward amenities (Modern). The property serves as a central social anchor in downtown Tampa, driven by the ""see-and-be-seen"" energy of the legendary Sapphire Lounge—a historic jazz-age staple—and its proximity to the city's urban waterfront (Public)."
